error_id,date_found,chapter,batch_id,block_id,resource_id,category,subcategory,severity,english_fragment,russian_fragment,description,rationale,required_fix,source,xhtml_path,pdf_page,status,initial_check,root_cause,related_error_ids,reviewer_note,correction,recheck,reserved
CH06-ERR-063,2026-08-16,CH06,CH06-BATCH-005,CH06-B0168,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,Major,"Example (perpetual futures) : in crypto_perps_funding , funding is a position-dependent cash flow that is part of the total return stream: a cost when paid and a benefit when received. Because it accrues only when a position is held at the funding timestamp and is settled under venue-specific conventions, the trading setup must specify (i) how trades and position changes are aligned to the funding snapshot, (ii) which pricing and funding formula (including any caps/floors) and fee schedule are assumed, and (iii) how convention changes are versioned. Otherwise, the same backtest can imply different effective exposures and produce materially different PnL.",,Incorrect PDF page mapping 164/123; verified mapping is 175/134.,EPUB block location was visually cross-checked against the rendered PDF pages.,Update pdf_physical_page/pdf_printed_page from 164/123 to 175/134.,EPUB + PDF visual audit,/*/*[2]/*/*[98],175/134,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in canonical registry row,,,Batch metadata corrected to 175/134.,PASS: independent structural QA verified rendered PDF mapping and all immutable/source/target structure constraints.,
CH06-ERR-064,2026-08-16,CH06,CH06-BATCH-005,CH06-B0169,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,Major,Example : The ETF cross-asset momentum setup (v1) defines the following invariants:,,Incorrect PDF page mapping 164/123; verified mapping is 175/134.,EPUB block location was visually cross-checked against the rendered PDF pages.,Update pdf_physical_page/pdf_printed_page from 164/123 to 175/134.,EPUB + PDF visual audit,/*/*[2]/*/*[99],175/134,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in canonical registry row,,,Batch metadata corrected to 175/134.,PASS: independent structural QA verified rendered PDF mapping and all immutable/source/target structure constraints.,
CH06-ERR-065,2026-08-16,CH06,CH06-BATCH-005,CH06-B0178,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,Major,"Universe or tradability rules , for example, eligibility, membership mechanics, instrument scope.",,Incorrect PDF page mapping 164/123; verified mapping is 176/135.,EPUB block location was visually cross-checked against the rendered PDF pages.,Update pdf_physical_page/pdf_printed_page from 164/123 to 176/135.,EPUB + PDF visual audit,/*/*[2]/*/*[104]/*[1],176/135,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in canonical registry row,,,Batch metadata corrected to 176/135.,PASS: independent structural QA verified rendered PDF mapping and all immutable/source/target structure constraints.,
CH06-ERR-066,2026-08-16,CH06,CH06-BATCH-005,CH06-B0181,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,Major,"Constraint regime , such as binding exposure/leverage limits, concentration rules, capacity or liquidity constraints, action-changing overlays.",,Incorrect PDF page mapping 164/123; verified mapping is 176/135.,EPUB block location was visually cross-checked against the rendered PDF pages.,Update pdf_physical_page/pdf_printed_page from 164/123 to 176/135.,EPUB + PDF visual audit,/*/*[2]/*/*[104]/*[4],176/135,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in canonical registry row,,,Batch metadata corrected to 176/135.,PASS: independent structural QA verified rendered PDF mapping and all immutable/source/target structure constraints.,
CH06-ERR-067,2026-08-16,CH06,CH06-BATCH-005,CH06-B0198,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,Major,"Implementation : 02_case_study_overview inventories the trading setup for each of the nine case studies (universe, decision schedule, mapping, constraints, cost model) and is the source of the worked examples above.",,Incorrect PDF page mapping 164/123; verified mapping is 176/135.,EPUB block location was visually cross-checked against the rendered PDF pages.,Update pdf_physical_page/pdf_printed_page from 164/123 to 176/135.,EPUB + PDF visual audit,/*/*[2]/*/*[109]/*,176/135,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in canonical registry row,,,Batch metadata corrected to 176/135.,PASS: independent structural QA verified rendered PDF mapping and all immutable/source/target structure constraints.,
CH06-ERR-068,2026-08-16,CH06,CH06-BATCH-005,CH06-B0170,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,SEMANTIC,invented_numeric_detail,Major,trailing annual ADV ≥ $10M,за предшествующие 12 месяцев ≥ $10 млн,"В перевод добавлено число 12, отсутствующее в оригинале.","Independent human acceptance against EPUB, PDF, glossary v1.14 and style guide v1.14.",Удалить добавленное число и передать annual как «за предшествующий год».,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[100]/*[1],175/134,VERIFIED_CLOSED,CONFIRMED,human acceptance finding,,Independent language and structural rechecks passed after human-acceptance correction.,за предшествующий год ≥ 10 млн долларов США,"PASS: correction verified against EPUB, PDF, glossary/style guide v1.14, XHTML skeleton and deterministic validators.",
CH06-ERR-069,2026-08-16,CH06,CH06-BATCH-005,CH06-B0161,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STYLE,capitalization_after_label,Minor,Position sizing: How scores,Определение размера позиции: Как оценки,После рубричного двоеточия ошибочно использована прописная буква.,"Independent human acceptance against EPUB, PDF, glossary v1.14 and style guide v1.14.",Использовать строчную букву после двоеточия.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[92]/*[4],174/133,VERIFIED_CLOSED,CONFIRMED,human acceptance finding,,Independent language and structural rechecks passed after human-acceptance correction.,Определение размера позиции: как оценки,"PASS: correction verified against EPUB, PDF, glossary/style guide v1.14, XHTML skeleton and deterministic validators.",
CH06-ERR-070,2026-08-16,CH06,CH06-BATCH-005,CH06-B0162,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STYLE,capitalization_after_label,Minor,Order timing: When orders,Время размещения заявок: Когда размещаются,После рубричного двоеточия ошибочно использована прописная буква.,"Independent human acceptance against EPUB, PDF, glossary v1.14 and style guide v1.14.",Использовать строчную букву после двоеточия.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[92]/*[5],174/133,VERIFIED_CLOSED,CONFIRMED,human acceptance finding,,Independent language and structural rechecks passed after human-acceptance correction.,Время размещения заявок: когда размещаются,"PASS: correction verified against EPUB, PDF, glossary/style guide v1.14, XHTML skeleton and deterministic validators.",
CH06-ERR-071,2026-08-16,CH06,CH06-BATCH-005,CH06-B0169,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STYLE,capitalization_after_label,Minor,Example: The ETF,Пример: Параметры моментум-стратегии,После вводной рубрики ошибочно использована прописная буква.,"Independent human acceptance against EPUB, PDF, glossary v1.14 and style guide v1.14.",Использовать строчную букву после двоеточия.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[99],175/134,VERIFIED_CLOSED,CONFIRMED,human acceptance finding,,Independent language and structural rechecks passed after human-acceptance correction.,Пример: параметры моментум-стратегии,"PASS: correction verified against EPUB, PDF, glossary/style guide v1.14, XHTML skeleton and deterministic validators.",
CH06-ERR-072,2026-08-16,CH06,CH06-BATCH-005,CH06-B0171,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STYLE,capitalization_after_label,Minor,Decision schedule: Monthly,График принятия решений: Ежемесячный,После рубричного двоеточия ошибочно использована прописная буква.,"Independent human acceptance against EPUB, PDF, glossary v1.14 and style guide v1.14.",Использовать строчную букву после двоеточия.,EPUB + PDF + ML4T glossary/style guide v1.14,/*/*[2]/*/*[100]/*[2],175/134,VERIFIED_CLOSED,CONFIRMED,human acceptance finding,,Independent language and structural rechecks passed after human-acceptance correction.,График принятия решений: ежемесячный,"PASS: correction verified against EPUB, PDF, glossary/style guide v1.14, XHTML skeleton and deterministic validators.",
