error_id,date_found,chapter,batch_id,block_id,resource_id,category,subcategory,severity,english_fragment,russian_fragment,description,rationale,required_fix,source,xhtml_path,pdf_page,status,initial_check,root_cause,related_error_ids,reviewer_note,correction,recheck,reserved
CH06-ERR-091,2026-08-16,CH06,CH06-BATCH-007,CH06-B0245,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,High,"Labels look forward : A 20-day return label period begins on the observation date. If a training observation occurs 15 days before validation starts, its label overlaps with five validation days.","Метки используют будущий период: период 20-дневной метки доходности начинается в дату наблюдения. Если обучающее наблюдение приходится на 15 дней раньше начала проверки, период его метки пересекается с пятью проверочными днями.",Canonical registry contained a stale PDF physical/printed page pair.,The exact source block was located on the rendered canonical PDF.,Set batch-only page metadata to 180/139 without changing source fields.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[143]/*[1],180/139,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in the canonical registry row,,,pdf_physical_page/pdf_printed_page set to 180/139.,PASS: independent structural recheck confirmed PDF physical/printed 180/139.,
CH06-ERR-092,2026-08-16,CH06,CH06-BATCH-007,CH06-B0246,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,High,"Features look backward : A 20-day momentum feature uses data from the past 20 days. If training follows validation (as in k-fold or combinatorial schemes; see Combinatorial methods and path dependence below), a training observation immediately after the validation period computes features using prices from the validation period.","Признаки используют предшествующий период: 20-дневный признак моментума рассчитывается по данным за предыдущие 20 дней. Если обучение следует после проверки (как в k-кратных или комбинаторных схемах; см. ниже раздел «Комбинаторные методы и зависимость от траектории»), то для обучающего наблюдения сразу после проверочного периода признаки рассчитываются по ценам из проверочного периода.",Canonical registry contained a stale PDF physical/printed page pair.,The exact source block was located on the rendered canonical PDF.,Set batch-only page metadata to 180/139 without changing source fields.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[143]/*[2],180/139,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in the canonical registry row,,,pdf_physical_page/pdf_printed_page set to 180/139.,PASS: independent structural recheck confirmed PDF physical/printed 180/139.,
CH06-ERR-093,2026-08-16,CH06,CH06-BATCH-007,CH06-B0255,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,High,"Rolling retuning : To estimate the performance of a procedure that regularly retunes as new data arrives, split the overall test period into smaller windows and repeat the “fixed holdout” procedure for each window. At each test step, tune using only data strictly prior to the next test window, refit on admissible history, and then score on the next test window. Each test window is used for measurement only. This approach is called nested walk-forward because it uses an outer test loop and an inner model-selection loop. Bates et al. (2021) show that confidence intervals computed from nested CV have superior statistical properties. Figure 6.4 illustrates this procedure with expanding and rolling windows.","Скользящая перенастройка: чтобы оценить качество процедуры, которую регулярно перенастраивают по мере поступления новых данных, разделите общий тестовый период на меньшие окна и повторите для каждого окна процедуру «фиксированной отложенной выборки». На каждом шаге тестирования выполняйте настройку только по данным, строго предшествующим следующему тестовому окну, повторно обучайте модель на допустимой истории, а затем оценивайте модель на следующем тестовом окне. Каждое тестовое окно используется только для измерения. Этот подход называется вложенной пошаговой проверкой с продвижением во времени, поскольку в нём применяются внешний цикл тестирования и внутренний цикл выбора модели. Бейтс и соавт. (2021) показывают, что доверительные интервалы, рассчитанные с помощью вложенной перекрёстной проверки, обладают лучшими статистическими свойствами. На рисунке 6.4 эта процедура показана для расширяющихся и скользящих окон.",Canonical registry contained a stale PDF physical/printed page pair.,The exact source block was located on the rendered canonical PDF.,Set batch-only page metadata to 181/140 without changing source fields.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[150]/*[2],181/140,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in the canonical registry row,,,pdf_physical_page/pdf_printed_page set to 181/140.,PASS: independent structural recheck confirmed PDF physical/printed 181/140.,
CH06-ERR-094,2026-08-16,CH06,CH06-BATCH-007,CH06-B0258,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,High,Combinatorial methods and path dependence,Комбинаторные методы и зависимость от траектории,Canonical registry contained a stale PDF physical/printed page pair.,The exact source block was located on the rendered canonical PDF.,Set batch-only page metadata to 182/141 without changing source fields.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[154],182/141,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in the canonical registry row,,,pdf_physical_page/pdf_printed_page set to 182/141.,PASS: independent structural recheck confirmed PDF physical/printed 182/141.,
CH06-ERR-095,2026-08-16,CH06,CH06-BATCH-007,CH06-B0275,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,METADATA,pdf_page_mapping,High,"Before running large experiment grids, we need a baseline checkpoint : the smallest runnable specification that answers an early governance question: under the trading setup and evaluation protocol, is there enough stable structure to justify deeper work, or should the setup itself be revised?","Прежде чем запускать большие сетки экспериментов, необходима контрольная точка базового варианта — минимальная исполняемая спецификация, отвечающая на предварительный вопрос управления и контроля: достаточно ли устойчивой структуры при заданных параметрах торговли и протоколе оценки, чтобы оправдать более глубокую работу, или следует пересмотреть сами параметры торговли?",Canonical registry contained a stale PDF physical/printed page pair.,The exact source block was located on the rendered canonical PDF.,Set batch-only page metadata to 183/142 without changing source fields.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[167],183/142,VERIFIED_CLOSED,CONFIRMED,stale copied page metadata in the canonical registry row,,,pdf_physical_page/pdf_printed_page set to 183/142.,PASS: independent structural recheck confirmed PDF physical/printed 183/142.,
CH06-ERR-096,2026-08-16,CH06,CH06-BATCH-007,CH06-B0256,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,figure_asset_binding,High,Figure 6.4: Nested walk-forward CV with rolling windows,Рисунок 6.4: Вложенная пошаговая перекрёстная проверка с продвижением во времени и скользящими окнами,The caption row omitted an explicit binding note for Figure 6.4; the canonical asset ledger has no separate ID.,EPUB and PDF establish authoritative figure-before-caption order and the immutable source image path.,Record the verified image path/hash/order in notes; do not invent or alter asset_ids.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[152],181/140,VERIFIED_CLOSED,CONFIRMED,image-only EPUB node is outside the block ledger and has no canonical asset identifier,,Image-internal English labels remain a separately approved derived-artwork task.,Added FIGURE_BINDING_VERIFIED note for OEBPS/Images/B18427_06_04.png; asset_ids remains unchanged.,"PASS: independent structural recheck confirmed image hash, order, caption binding and intentionally empty asset_ids.",
CH06-ERR-097,2026-08-16,CH06,CH06-BATCH-007,CH06-B0272,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,figure_asset_binding,High,"Figure 6.5: Training, validation, and holdout periods for the nine case studies","Рисунок 6.5: Периоды обучения, проверки и отложенного тестирования для девяти практических примеров",The caption row omitted an explicit binding note for Figure 6.5; the canonical asset ledger has no separate ID.,EPUB and PDF establish authoritative figure-before-caption order and the immutable source image path.,Record the verified image path/hash/order in notes; do not invent or alter asset_ids.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[164],183/142,VERIFIED_CLOSED,CONFIRMED,image-only EPUB node is outside the block ledger and has no canonical asset identifier,,Image-internal English labels remain a separately approved derived-artwork task.,Added FIGURE_BINDING_VERIFIED note for OEBPS/Images/B18427_06_05.png; asset_ids remains unchanged.,"PASS: independent structural recheck confirmed image hash, order, caption binding and intentionally empty asset_ids.",
CH06-ERR-098,2026-08-16,CH06,CH06-BATCH-007,CH06-B0245,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"Labels look forward : A 20-day return label period begins on the observation date. If a training observation occurs 15 days before validation starts, its label overlaps with five validation days.","Метки используют будущий период: период 20-дневной метки доходности начинается в дату наблюдения. Если обучающее наблюдение приходится на 15 дней раньше начала проверки, период его метки пересекается с пятью проверочными днями.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[143]/*[1],180/139,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-099,2026-08-16,CH06,CH06-BATCH-007,CH06-B0246,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"Features look backward : A 20-day momentum feature uses data from the past 20 days. If training follows validation (as in k-fold or combinatorial schemes; see Combinatorial methods and path dependence below), a training observation immediately after the validation period computes features using prices from the validation period.","Признаки используют предшествующий период: 20-дневный признак моментума рассчитывается по данным за предыдущие 20 дней. Если обучение следует после проверки (как в k-кратных или комбинаторных схемах; см. ниже раздел «Комбинаторные методы и зависимость от траектории»), то для обучающего наблюдения сразу после проверочного периода признаки рассчитываются по ценам из проверочного периода.",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[143]/*[2],180/139,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
CH06-ERR-100,2026-08-16,CH06,CH06-BATCH-007,CH06-B0247,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,STRUCTURE,target_html_text_sync,High,"The solution is temporal buffers: gaps that prevent labels and features from reaching across the boundary. In practice, always count buffer gaps in trading days , not calendar days. The difference is material. For example, a 21-trading-day label buffer in January 2024 spans 30–32 calendar days; a naive 21- calendar -day purge covers only 15 trading days, leaving 6 days of label leakage (see 01_cv_foundations ):","Решением служат временные буферы: зазоры, которые не позволяют меткам и признакам пересекать границу между выборками. На практике всегда измеряйте буферные зазоры в торговых, а не календарных днях. Разница существенна. Например, буфер меток длиной 21 торговый день в январе 2024 года охватывает 30–32 календарных дня; наивное исключение пересекающихся наблюдений за 21 календарный день охватывает лишь 15 торговых дней, оставляя 6 дней утечки через метки (см. 01_cv_foundations):",Rendered target_html did not exactly match russian_text at inline-markup boundaries.,"Pretty-print whitespace and, for some blocks, punctuation/text-node wording produced a divergent browser text stream.",Change only target text nodes and serialization whitespace while preserving the full XHTML skeleton and attributes.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[144],180/139,VERIFIED_CLOSED,CONFIRMED,translation inserted content into pretty-printed inline XHTML without boundary normalization,,,Compacted target-only serialization and synchronized text nodes to the accepted Russian text.,PASS: independent structural recheck confirmed exact 40/40 target text and unchanged skeleton/attributes.,
