chapter_id,block_id,sequence_number,element_type,section_path,xhtml_path,source_element_id,pdf_physical_page,pdf_printed_page,english_text,russian_text,source_html,target_html,asset_ids,table_id,formula_id,code_id,link_ids,term_candidates,formatting_markers,translation_status,qa_semantic,qa_terminology,qa_numbers_code_links,qa_structure_formatting,qa_status,batch_id,notes,version
CH06,CH06-B0241,241,h3,6.5 Evaluation protocol for time series > Walk-forward cross-validation as the baseline > Retraining frequency,/*/*[2]/*/*[139],_idParaDest-288,180,139,Retraining frequency,Частота повторного обучения,"<h3 xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""heading-3"" id=""_idParaDest-288"">
    <a id=""_idTextAnchor280"">
    </a>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.591.1"">
     Retraining frequency
    </span>
   </h3>
   ","<h3 xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""heading-3"" id=""_idParaDest-288""><a id=""_idTextAnchor280""></a><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.591.1"">Частота повторного обучения</span></h3>",,,,,,,a,TRANSLATED,PASS,PASS,PASS,PASS,QA_PASS,CH06-BATCH-007,,v0.1
CH06,CH06-B0242,242,p,6.5 Evaluation protocol for time series > Walk-forward cross-validation as the baseline > Retraining frequency,/*/*[2]/*/*[140],,180,139,"Retrain when new data represents at least 1–5% of the training window, or when out-of-sample performance degrades systematically. With a 10-year window, monthly or quarterly retraining suffices; with 20-day windows, daily retraining captures meaningful change. These design choices materially affect results and must be logged.","Повторно обучайте модель, когда объём новых данных составляет не менее 1–5 % обучающего окна или когда качество вне обучающей выборки систематически ухудшается. При 10-летнем окне достаточно повторного обучения раз в месяц или квартал; при 20-дневных окнах ежедневное повторное обучение позволяет учитывать существенные изменения. Эти решения по схеме оценки заметно влияют на результаты и должны регистрироваться.","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal"">
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.592.1"">
     Retrain when new data represents at least 1–5% of the training window, or when out-of-sample performance degrades systematically.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.592.2"">
     With a 10-year window, monthly or quarterly retraining suffices; with 20-day windows, daily retraining captures meaningful change.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.592.3"">
     These design choices materially affect results and must be logged.
    </span>
   </p>
   ","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.592.1"">Повторно обучайте модель, когда объём новых данных составляет не менее 1–5 % обучающего окна или когда качество вне обучающей выборки систематически ухудшается. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.592.2"">При 10-летнем окне достаточно повторного обучения раз в месяц или квартал; при 20-дневных окнах ежедневное повторное обучение позволяет учитывать существенные изменения. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.592.3"">Эти решения по схеме оценки заметно влияют на результаты и должны регистрироваться.</span></p>",,,,,,,,TRANSLATED,PASS,PASS,PASS,PASS,QA_PASS,CH06-BATCH-007,,v0.1
CH06,CH06-B0243,243,h2,6.5 Evaluation protocol for time series > Temporal buffers – Label buffer and feature buffer,/*/*[2]/*/*[141],_idParaDest-289,180,139,Temporal buffers – Label buffer and feature buffer,Временные буферы — буфер меток и буфер признаков,"<h2 xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""heading-2"" id=""_idParaDest-289"">
    <a id=""_idTextAnchor281"">
    </a>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.593.1"">
     Temporal buffers – Label buffer and feature buffer
    </span>
   </h2>
   ","<h2 xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""heading-2"" id=""_idParaDest-289""><a id=""_idTextAnchor281""></a><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.593.1"">Временные буферы — буфер меток и буфер признаков</span></h2>",,,,,,,a,TRANSLATED,PASS,PASS,PASS,PASS,QA_PASS,CH06-BATCH-007,,v0.1
CH06,CH06-B0244,244,p,6.5 Evaluation protocol for time series > Temporal buffers – Label buffer and feature buffer,/*/*[2]/*/*[142],,180,139,Walk-forward validation eliminates the grossest form of leakage—training on the future—but leaves a subtler problem. Training observations can “see” validation data through two channels:,"Пошаговая проверка с продвижением во времени устраняет самую грубую форму утечки информации — обучение на будущих данных, — но оставляет более тонкую проблему. Обучающие наблюдения могут «видеть» проверочные данные по двум каналам:","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal"">
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.594.1"">
     Walk-forward validation
    </span>
    <a id=""_idIndexMarker722"">
    </a>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.595.1"">
     eliminates the grossest form of leakage—training on the future—but leaves a subtler problem.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.595.2"">
     Training observations can “see” validation data through two channels:
    </span>
   </p>
   ","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.594.1"">Пошаговая проверка с продвижением во времени </span><a id=""_idIndexMarker722""></a><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.595.1"">устраняет самую грубую форму утечки информации — обучение на будущих данных, — но оставляет более тонкую проблему. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.595.2"">Обучающие наблюдения могут «видеть» проверочные данные по двум каналам:</span></p>",,,,,,,a,TRANSLATED,PASS,PASS,PASS,PASS,QA_PASS,CH06-BATCH-007,,v0.1
CH06,CH06-B0245,245,li,6.5 Evaluation protocol for time series > Temporal buffers – Label buffer and feature buffer,/*/*[2]/*/*[143]/*[1],,180,139,"Labels look forward : A 20-day return label period begins on the observation date. If a training observation occurs 15 days before validation starts, its label overlaps with five validation days.","Метки используют будущий период: период 20-дневной метки доходности начинается в дату наблюдения. Если обучающее наблюдение приходится на 15 дней раньше начала проверки, период его метки пересекается с пятью проверочными днями.","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList"">
     <strong class=""screenText"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.596.1"">
       Labels look forward
      </span>
     </strong>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.597.1"">
      : A 20-day
     </span>
     <a id=""_idIndexMarker723"">
     </a>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.598.1"">
      return label period begins on the observation date.
     </span>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.598.2"">
      If a training observation occurs 15 days before validation starts, its label overlaps with five validation days.
     </span>
    </li>
    ","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList""><strong class=""screenText""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.596.1"">Метки используют будущий период</span></strong><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.597.1"">: период 20-дневной </span><a id=""_idIndexMarker723""></a><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.598.1"">метки доходности начинается в дату наблюдения. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.598.2"">Если обучающее наблюдение приходится на 15 дней раньше начала проверки, период его метки пересекается с пятью проверочными днями.</span></li>",,,,,,,"strong,a",TRANSLATED,PASS,PASS,PASS,PASS,QA_PASS,CH06-BATCH-007,,v0.1
CH06,CH06-B0246,246,li,6.5 Evaluation protocol for time series > Temporal buffers – Label buffer and feature buffer,/*/*[2]/*/*[143]/*[2],,180,139,"Features look backward : A 20-day momentum feature uses data from the past 20 days. If training follows validation (as in k-fold or combinatorial schemes; see Combinatorial methods and path dependence below), a training observation immediately after the validation period computes features using prices from the validation period.","Признаки используют предшествующий период: 20-дневный признак моментума рассчитывается по данным за предыдущие 20 дней. Если обучение следует после проверки (как в k-кратных или комбинаторных схемах; см. ниже раздел «Комбинаторные методы и зависимость от траектории»), то для обучающего наблюдения сразу после проверочного периода признаки рассчитываются по ценам из проверочного периода.","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList"">
     <strong class=""screenText"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.599.1"">
       Features look backward
      </span>
     </strong>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.600.1"">
      : A 20-day
     </span>
     <a id=""_idIndexMarker724"">
     </a>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.601.1"">
      momentum feature uses data from the past 20 days.
     </span>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.601.2"">
      If training
     </span>
     <em class=""italic"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.602.1"">
       follows
      </span>
     </em>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.603.1"">
      validation (as in k-fold or combinatorial schemes; see Combinatorial methods and path dependence below), a training observation immediately after the validation period computes features using prices from the validation period.
     </span>
    </li>
   ","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList""><strong class=""screenText""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.599.1"">Признаки используют предшествующий период</span></strong><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.600.1"">: 20-дневный </span><a id=""_idIndexMarker724""></a><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.601.1"">признак моментума рассчитывается по данным за предыдущие 20 дней. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.601.2"">Если обучение </span><em class=""italic""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.602.1"">следует после </span></em><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.603.1"">проверки (как в k-кратных или комбинаторных схемах; см. ниже раздел «Комбинаторные методы и зависимость от траектории»), то для обучающего наблюдения сразу после проверочного периода признаки рассчитываются по ценам из проверочного периода.</span></li>",,,,,,,"strong,em,a",TRANSLATED,PASS,PASS,PASS,PASS,QA_PASS,CH06-BATCH-007,,v0.1
CH06,CH06-B0247,247,p,6.5 Evaluation protocol for time series > Temporal buffers – Label buffer and feature buffer,/*/*[2]/*/*[144],,180,139,"The solution is temporal buffers: gaps that prevent labels and features from reaching across the boundary. In practice, always count buffer gaps in trading days , not calendar days. The difference is material. For example, a 21-trading-day label buffer in January 2024 spans 30–32 calendar days; a naive 21- calendar -day purge covers only 15 trading days, leaving 6 days of label leakage (see 01_cv_foundations ):","Решением служат временные буферы: зазоры, которые не позволяют меткам и признакам пересекать границу между выборками. На практике всегда измеряйте буферные зазоры в торговых, а не календарных днях. Разница существенна. Например, буфер меток длиной 21 торговый день в январе 2024 года охватывает 30–32 календарных дня; наивное исключение пересекающихся наблюдений за 21 календарный день охватывает лишь 15 торговых дней, оставляя 6 дней утечки через метки (см. 01_cv_foundations):","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal"">
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.604.1"">
     The solution is
    </span>
    <strong class=""keyWord"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.605.1"">
      temporal buffers:
     </span>
    </strong>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.606.1"">
     gaps that prevent labels and features from reaching across the boundary.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.606.2"">
     In practice, always count buffer gaps in
    </span>
    <strong class=""keyWord"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.607.1"">
      trading days
     </span>
    </strong>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.608.1"">
     , not calendar days.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.608.2"">
     The difference is material.
    </span>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.608.3"">
     For example, a 21-trading-day label buffer in January 2024 spans 30–32 calendar days; a naive 21-
    </span>
    <em class=""italic"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.609.1"">
      calendar
     </span>
    </em>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.610.1"">
     -day purge covers only 15 trading days, leaving 6 days of label leakage (see
    </span>
    <code class=""inlineCode"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.611.1"">
      01_cv_foundations
     </span>
    </code>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.612.1"">
     ):
    </span>
   </p>
   ","<p xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""normal""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.604.1"">Решением служат </span><strong class=""keyWord""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.605.1"">временные буферы: </span></strong><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.606.1"">зазоры, которые не позволяют меткам и признакам пересекать границу между выборками. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.606.2"">На практике всегда измеряйте буферные зазоры в </span><strong class=""keyWord""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.607.1"">торговых</span></strong><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.608.1"">, а не календарных днях. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.608.2"">Разница существенна. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.608.3"">Например, буфер меток длиной 21 торговый день в январе 2024 года охватывает 30–32 календарных дня; наивное исключение пересекающихся наблюдений за 21 </span><em class=""italic""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.609.1"">календарный </span></em><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.610.1"">день охватывает лишь 15 торговых дней, оставляя 6 дней утечки через метки (см. </span><code class=""inlineCode""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.611.1"">01_cv_foundations</span></code><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.612.1"">):</span></p>",,,,,,,"strong,em,code",TRANSLATED,PASS,PASS,PASS,PASS,QA_PASS,CH06-BATCH-007,,v0.1
CH06,CH06-B0248,248,li,6.5 Evaluation protocol for time series > Temporal buffers – Label buffer and feature buffer,/*/*[2]/*/*[145]/*[1],,180,139,"The label buffer removes training observations whose labels overlap with those in the validation set. Its size equals the label horizon: for 20-day forward returns, exclude training observations within 20 (trading) days of the validation boundary. For one-day-ahead forecasts on daily data, no buffer is needed. López de Prado (2018) calls this purging .","Буфер меток исключает обучающие наблюдения, метки которых пересекаются с метками проверочной выборки. Его размер равен горизонту метки: для 20-дневной будущей доходности исключите обучающие наблюдения в пределах 20 торговых дней от границы проверки. Для прогнозов на один день вперёд по дневным данным буфер не требуется. Лопес де Прадо (2018) называет это исключением пересекающихся наблюдений.","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.613.1"">
      The
     </span>
     <strong class=""keyWord"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.614.1"">
       label buffer
      </span>
     </strong>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.615.1"">
      removes
     </span>
     <a id=""_idIndexMarker725"">
     </a>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.616.1"">
      training observations whose labels overlap with those in the validation set.
     </span>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.616.2"">
      Its size equals the label horizon: for 20-day forward returns, exclude training observations within 20 (trading) days of the validation boundary.
     </span>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.616.3"">
      For one-day-ahead
     </span>
     <a id=""_idIndexMarker726"">
     </a>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.617.1"">
      forecasts on daily data, no buffer is needed.
     </span>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.617.2"">
      López de Prado (2018) calls this
     </span>
     <strong class=""keyWord"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.618.1"">
       purging
      </span>
     </strong>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.619.1"">
      .
     </span>
    </li>
    ","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.613.1""></span><strong class=""keyWord""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.614.1"">Буфер меток </span></strong><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.615.1"">исключает </span><a id=""_idIndexMarker725""></a><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.616.1"">обучающие наблюдения, метки которых пересекаются с метками проверочной выборки. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.616.2"">Его размер равен горизонту метки: для 20-дневной будущей доходности исключите обучающие наблюдения в пределах 20 торговых дней от границы проверки. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.616.3"">Для прогнозов на один день вперёд </span><a id=""_idIndexMarker726""></a><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.617.1"">по дневным данным буфер не требуется. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.617.2"">Лопес де Прадо (2018) называет это </span><strong class=""keyWord""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.618.1"">исключением пересекающихся наблюдений</span></strong><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.619.1"">.</span></li>",,,,,,,"strong,a",TRANSLATED,PASS,PASS,PASS,PASS,QA_PASS,CH06-BATCH-007,,v0.1
CH06,CH06-B0249,249,li,6.5 Evaluation protocol for time series > Temporal buffers – Label buffer and feature buffer,/*/*[2]/*/*[145]/*[2],,181,140,"The feature buffer removes training observations whose feature lookback windows overlap with the validation period. This buffer is only needed when training data appear after the validation period, which does not occur in standard walk-forward CV but does occur in k-fold and combinatorial schemes. López de Prado (2018) calls this an embargo and proposes 1% of the sample length as a rule of thumb; the appropriate size depends on the strategy’s horizon and the strength of temporal dependence.","Буфер признаков исключает обучающие наблюдения, ретроспективные окна признаков которых пересекаются с проверочным периодом. Этот буфер нужен только тогда, когда обучающие данные расположены после проверочного периода: в стандартной пошаговой перекрёстной проверке с продвижением во времени этого не происходит, но это происходит в k-кратных и комбинаторных схемах. Лопес де Прадо (2018) называет такой зазор эмбарго между выборками и предлагает в качестве практического ориентира 1 % длины выборки; подходящий размер зависит от горизонта стратегии и силы временной зависимости.","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList"">
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.620.1"">
      The
     </span>
     <strong class=""keyWord"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.621.1"">
       feature buffer
      </span>
     </strong>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.622.1"">
      removes
     </span>
     <a id=""_idIndexMarker727"">
     </a>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.623.1"">
      training observations whose feature lookback windows overlap with the validation period.
     </span>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.623.2"">
      This buffer is only needed when training data appear after the validation period, which does not occur in standard walk-forward CV but does occur in k-fold and combinatorial schemes.
     </span>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.623.3"">
      López de Prado (2018) calls this
     </span>
     <a id=""_idIndexMarker728"">
     </a>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.624.1"">
      an
     </span>
     <strong class=""keyWord"">
      <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.625.1"">
       embargo
      </span>
     </strong>
     <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.626.1"">
      and proposes 1% of the sample length as a rule of thumb; the appropriate size depends on the strategy’s horizon and the strength of temporal dependence.
     </span>
    </li>
   ","<li xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""bulletList""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.620.1""></span><strong class=""keyWord""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.621.1"">Буфер признаков </span></strong><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.622.1"">исключает </span><a id=""_idIndexMarker727""></a><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.623.1"">обучающие наблюдения, ретроспективные окна признаков которых пересекаются с проверочным периодом. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.623.2"">Этот буфер нужен только тогда, когда обучающие данные расположены после проверочного периода: в стандартной пошаговой перекрёстной проверке с продвижением во времени этого не происходит, но это происходит в k-кратных и комбинаторных схемах. </span><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.623.3"">Лопес де Прадо (2018) называет такой зазор </span><a id=""_idIndexMarker728""></a><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.624.1""></span><strong class=""keyWord""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.625.1"">эмбарго между выборками </span></strong><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.626.1"">и предлагает в качестве практического ориентира 1 % длины выборки; подходящий размер зависит от горизонта стратегии и силы временной зависимости.</span></li>",,,,,,,"strong,a",TRANSLATED,PASS,PASS,PASS,PASS,QA_PASS,CH06-BATCH-007,,v0.1
CH06,CH06-B0250,250,h2,6.5 Evaluation protocol for time series > Holdout test set and rolling retuning,/*/*[2]/*/*[146],_idParaDest-290,181,140,Holdout test set and rolling retuning,Отложенная тестовая выборка и скользящая перенастройка,"<h2 xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""heading-2"" id=""_idParaDest-290"">
    <a id=""_idTextAnchor282"">
    </a>
    <span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.627.1"">
     Holdout test set and rolling retuning
    </span>
   </h2>
   ","<h2 xmlns=""http://www.w3.org/1999/xhtml"" xmlns:epub=""http://www.idpf.org/2007/ops"" class=""heading-2"" id=""_idParaDest-290""><a id=""_idTextAnchor282""></a><span xmlns=""http://www.w3.org/1999/xhtml"" class=""koboSpan"" id=""kobo.627.1"">Отложенная тестовая выборка и скользящая перенастройка</span></h2>",,,,,,,a,TRANSLATED,PASS,PASS,PASS,PASS,QA_PASS,CH06-BATCH-007,,v0.1
